SABC,D,Status,Use,Code Length,Area Type,Notes,Date,Changes
1229,4,Designated,Barrow-in-Furness,4 Digit Area Code,ELNS,,,ADDED MISSING DATA: '4 Digit Area Code'. Moved 'ELNS' data to separate column.
1229,5,Designated,Barrow-in-Furness,4 Digit Area Code,ELNS,,,ADDED MISSING DATA: '4 Digit Area Code'. Moved 'ELNS' data to separate column.
1229,6,Designated,Barrow-in-Furness,4 Digit Area Code,ELNS,,,ADDED MISSING DATA: '4 Digit Area Code'. Moved 'ELNS' data to separate column.
1229,7,Designated,Millom,4 Digit Area Code,ELNS,,,ADDED MISSING DATA: '4 Digit Area Code'. Moved 'ELNS' data to separate column.
1229,8,Designated,Barrow-in-Furness,4 Digit Area Code,ELNS,,,ADDED MISSING DATA: '4 Digit Area Code'. Moved 'ELNS' data to separate column.
1229,9,Designated,Millom,4 Digit Area Code,ELNS,,,ADDED MISSING DATA: '4 Digit Area Code'. Moved 'ELNS' data to separate column.
1230,,Designated,Geographic - unassigned,,,,,
1231,,Designated,Geographic - unassigned,,,,,
1232,,Designated,Geographic - unassigned,,,(formerly Belfast),,Split 'former usage' details to new 'Notes' column.
1233,,Designated,Ashford (Kent),4 Digit Area Code,,,,FIXED SPELLING/NAMING: incorrect 'Ashford' found. Added missing data: '4 Digit Area Code'.
1234,,Designated,Bedford,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1235,,Designated,Abingdon,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1236,,Designated,Coatbridge,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1237,,Designated,Bideford,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1238,,Designated,Geographic - unassigned,,,(formerly Saintfield NI),,Split 'former usage' details to new 'Notes' column.
1239,,Designated,Cardigan,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1240,,Designated,Geographic - unassigned,,,,,
1241,,Designated,Arbroath,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1242,,Designated,Cheltenham,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1243,,Designated,Chichester,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1244,,Designated,Chester,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1245,,Designated,Chelmsford,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'.
1246,,Designated,Chesterfield,4 Digit Area Code,,,,Added missing data: '4 Digit Area Code'. DUPLICATE ENTRY for '1246' DUMPED.
1247,,Designated,Geographic - unassigned,,,(formerly Bangor Co. Down/Kircubbin (Mixed 4/5 Digit Area Code Area)),,Added missing parentheses to 'former usage' details. Split 'former usage' details to new 'Notes' column.
